"county_code","county_name"
"001","MOMBASA"
"002","KWALE"
"003","KILIFI"
"004","TANA RIVER"
"005","LAMU"
"006","TAITA TAVETA"
"007","GARISSA"
"008","WAJIR"
"009","MANDERA"
"010","MARSABIT"
"011","ISIOLO"
"012","MERU"
"013","THARAKA - NITHI"
"014","EMBU"
"015","KITUI"
"016","MACHAKOS"
"017","MAKUENI"
"018","NYANDARUA"
"019","NYERI"
"020","KIRINYAGA"
"021","MURANG'A"
"022","KIAMBU"
"023","TURKANA"
"024","WEST POKOT"
"025","SAMBURU"
"026","TRANS NZOIA"
"027","UASIN GISHU"
"028","ELGEYO/MARAKWET"
"029","NANDI"
"030","BARINGO"
"031","LAIKIPIA"
"032","NAKURU"
"033","NAROK"
"034","KAJIADO"
"035","KERICHO"
"036","BOMET"
"037","KAKAMEGA"
"038","VIHIGA"
"039","BUNGOMA"
"040","BUSIA"
"041","SIAYA"
"042","KISUMU"
"043","HOMA BAY"
"044","MIGORI"
"045","KISII"
"046","NYAMIRA"
"047","NAIROBI CITY"
"048","DIASPORA"
"049","PRISONS"
