caw_code,polling_centre_code,polling_centre_name,polling_centre_key
1,1,BOMU PRIMARY SCHOOL,1
1,2,MWIJABU PRIMARY SCHOOL,2
1,3,LILONGWE GARDEN,3
2,4,UMOJA PRIMARY SCHOOL,4
2,5,KISUMU NDOGO GROUND,5
2,6,KWA HOLA PRIMARY SCHOOL,6
2,7,CAPE TOWN GROUND,7
2,8,KALOLENI GROUND,8
3,9,BOKOLE NURSERY SCHOOL,9
3,10,BARAKA VILLAGE,10
3,11,AL-IRSHADI NURSERY SCHOOL,11
3,12,MWIDANI SOCIAL HALL,12
3,13,PORTREITZ NURSERY SCHOOL,13
4,14,CHANGAMWE SOCIAL HALL,14
4,15,CHANGAMWE PRIMARY SCHOOL,15
4,16,ST. LWANGA PRIMARY SCHOOL,16
4,17,CHANGAMWE SECONDARY SCHOOL,17
4,18,GOME PRIMARY SCHOOL,18
4,19,MAGONGO PRIMARY SCHOOL,19
4,20,BAPTIST CHURCH PRIMARY SCHOOL,20
5,21,CHAANI SOCIAL HALL,21
5,22,KIPEVU PRIMARY SCHOOL,22
5,23,MIKADINI PRIMARY SCHOOL,23
5,24,CHAANI PRIMARY SCHOOL,24
6,1,MIRITINI WORLD BANK PRIMARY SCHOOL,25
6,2,JOMVU KUU PRIMARY SCHOOL,26
6,3,TARATIBU SOCIAL HALL,27
6,4,MIRIRONI PRIMARY SCHOOL,28
6,5,ALDINNAH NURSERY SCHOOL,29
6,6,JOMVU NARCOL NURSERY SCHOOL,30
6,7,SWALEH KHALID SOCIAL HALL,31
6,8,NURU COMMUNITY BASED REHABILITATION SCHOOL,32
7,9,ABU-UBAIDA PRIMARY SCHOOL,33
7,10,MIRITINI PRIMARY SCHOOL,34
7,11,BAMAKO INNITIATIVE MIRITINI,35
7,12,RAILWAY STATION HALL,36
7,13,MWAMLAI PRIMARY SCHOOL,37
8,14,MINISTRY OF WATER TANKS,38
8,15,MIKINDANI SOCIAL HALL,39
8,16,OWINO UHURU NURSERY SCHOOL,40
8,17,KWA SHEE PRIMARY SCHOOL,41
8,18,AMANI PRIMARY SCHOOL,42
8,19,ST. MARY'S BANGLADESH PRIMARY SCHOOL,43
8,20,MIKINDANI PRIMARY SCHOOL,44
9,1,KISAUNI BAPTIST PRIMARY SCHOOL,45
